Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount_02-2020,AminerCitationCount_06-2020,XploreCitationCount - 2020-01,PubsCited,Award,CitationCount,Countries,All_China,All_Japan,All_Korea,Has_China,Has_Japan,Has_Korea
PacificVis,2020,A Study of Mental Maps in Immersive Network Visualization,10.1109/PacificVis48177.2020.4722,,###,###,###,"The visualization of a network influences the quality of the mental map that the viewer develops to understand the network. In this study, we investigate the effects of a 3D immersive visualization environment compared to a traditional 2D desktop environment on the comprehension of a network's structure. We compare the two visualization environments using three tasks-interpreting network structure, memorizing a set of nodes, and identifying the structural changes-commonly used for evaluating the quality of a mental map in network visualization. The results show that participants were able to interpret network structure more accurately when viewing the network in an immersive environment, particularly for larger networks. However, we found that 2D visualizations performed better than immersive visualization for tasks that required spatial memory.",,"Kotlarek, Joseph;Kwon, Oh-Hyun;Ma, Kwan-Liu;Eades, Peter;Kerren, Andreas;Klein, Karsten;Schreiber, Falk","Kotlarek, J (Corresponding Author), Univ Calif Davis, Davis, CA 95616 USA. Kotlarek, Joseph; Kwon, Oh-Hyun; Ma, Kwan-Liu, Univ Calif Davis, Davis, CA 95616 USA. Eades, Peter, Univ Sydney, Sydney, NSW, Australia. Kerren, Andreas, Linnaeus Univ, Vaxjo, Sweden. Klein, Karsten; Schreiber, Falk, Univ Konstanz, Constance, Germany.",,"Human-centered computing, Visualization, Visualization techniques, Graph drawings, Human-centered computing, Visualization, Empirical studies in visualization",###,###,###,###,###,0,"['Australia', 'Sweden', 'Germany', 'CA 95616 USA']",False,False,False,False,False,False
PacificVis,2020,Quality Metrics for Symmetric Graph Drawings,10.1109/PacificVis48177.2020.1022,,###,###,###,"In this paper, we present a framework for quality metrics that measure symmetry, that is, how faithfully a drawing of a graph displays the ground truth geometric automorphisms as symmetries. The quality metrics are based on group theory as well as geometry. More specifically, we introduce two types of symmetry quality metrics for displaying: (1) a single geometric automorphism as a symmetry (axial or rotational) and (2) a group of geometric automorphisms (cyclic or dihedral). We also present algorithms to compute the symmetry quality metrics in O(nlogn) time. We validate our symmetry quality metrics using deformation experiments. We then use the metrics to evaluate existing graph layouts to compare how faithfully they display geometric automorphisms of a graph as symmetries.",,"Meidiana, Amyra;Hong, Seok-Hee;Eades, Peter;Keim, Daniel","Meidiana, A (Corresponding Author), Univ Sydney, Sydney, NSW, Australia. Meidiana, Amyra; Hong, Seok-Hee; Eades, Peter, Univ Sydney, Sydney, NSW, Australia. Keim, Daniel, Univ Konstanz, Constance, Germany.",,"Human-centered computing, Visualization, Visualization techniques, Graph drawing, Human-centered computing, Visualization, Visualization design and evaluation methods",###,###,###,###,###,0,"['Australia', 'Germany']",False,False,False,False,False,False
PacificVis,2020,"BatchLayout: A Batch-Parallel Force-Directed Graph Layout Algorithm in
Shared Memory",10.1109/PacificVis48177.2020.3756,,###,###,###,"Force-directed algorithms are widely used to generate aesthetically-pleasing layouts of graphs or networks arisen in many scientific disciplines. To visualize large-scale graphs, several parallel algorithms have been discussed in the literature. However, existing parallel algorithms do not utilize memory hierarchy efficiently and often offer limited parallelism. This paper addresses these limitations with BatchLayout, an algorithm that groups vertices into minibatches and processes them in parallel. BatchLayout also employs cache blocking techniques to utilize memory hierarchy efficiently. More parallelism and improved memory accesses coupled with force approximating techniques, better initialization, and optimized learning rate make BatchLayout significantly faster than other state-of-the-art algorithms such as ForceAtlas2 and OpenOrd. The visualization quality of layouts from BatchLayout is comparable or better than similar visualization tools.",,"Rahman, Md Khaledur;Sujon, Majedul Haque;Azad, Ariful","Azad, A (Corresponding Author), Indiana Univ, Dept Intelligent Syst Engn, Bloomington, IN 47405 USA. Rahman, Md Khaledur, Indiana Univ, Dept Comp Sci, Bloomington, IN 47405 USA. Sujon, Majedul Haque; Azad, Ariful, Indiana Univ, Dept Intelligent Syst Engn, Bloomington, IN 47405 USA.",,"Human-centered computing, Visualization, Visualization techniques, Graph drawings, Human-centered computing, Visualization, Visualization systems and tools, Visualization toolkits",###,###,###,###,###,0,['IN 47405 USA'],False,False,False,False,False,False
PacificVis,2020,ExplainExplore: Visual Exploration of Machine Learning Explanations,10.1109/PacificVis48177.2020.7090,,###,###,###,"Machine learning models often exhibit complex behavior that is difficult to understand. Recent research in explainable AI has produced promising techniques to explain the inner workings of such models using feature contribution vectors. These vectors are helpful in a wide variety of applications. However, there are many parameters involved in this process and determining which settings are best is difficult due to the subjective nature of evaluating interpretability. To this end, we introduce EXPLAINEXPLORE: an interactive explanation system to explore explanations that fit the subjective preference of data scientists. We leverage the domain knowledge of the data scientist to find optimal parameter settings and instance perturbations, and enable the discussion of the model and its explanation with domain experts. We present a use case on a real-world dataset to demonstrate the effectiveness of our approach for the exploration and tuning of machine learning explanations.",,"Collaris, Dennis;van Wijk, Jarke J.","Collaris, D (Corresponding Author), Eindhoven Univ Technol, Eindhoven, Netherlands. Collaris, Dennis; van Wijk, Jarke J., Eindhoven Univ Technol, Eindhoven, Netherlands.",,"Human-centered computing, Visualization, Computing methodologies, Machine learning",###,###,###,###,###,0,['Netherlands'],False,False,False,False,False,False
PacificVis,2020,"DynamicsExplorer: Visual Analytics for Robot Control Tasks involving
Dynamics and LSTM-based Control Policies",10.1109/PacificVis48177.2020.7127,,###,###,###,"Deep reinforcement learning (RL), where a policy represented by a deep neural network is trained, has shown some success in playing video games and chess. However, applying RL to real-world tasks like robot control is still challenging. Because generating a massive number of samples to train control policies using RL on real robots is very expensive, hence impractical, it is common to train in simulations, and then transfer to real environments. The trained policy, however, may fail in the real world because of the difference between the training and the real environments, especially the difference in dynamics. To diagnose the problems, it is crucial for experts to understand (1) how the trained policy behaves under different dynamics settings, (2) which part of the policy affects the behaviors the most when the dynamics setting changes, and (3) how to adjust the training procedure to make the policy robust. This paper presents DynamicsExplorer, a visual analytics tool to diagnose the trained policy on robot control tasks under different dynamics settings. DynamicsExplorer allows experts to overview the results of multiple tests with different dynamics-related parameter settings so experts can visually detect failures and analyze the sensitivity of different parameters. Experts can further examine the internal activations of the policy for selected tests and compare the activations between success and failure tests. Such comparisons help experts form hypotheses about the policy and allows them to verify the hypotheses via DynamicsExplorer. Multiple use cases are presented to demonstrate the utility of DynamicsExplorer.",,"He, Wenbin;Lee, Teng-Yok;van Baar, Jeroen;Wittenburg, Kent;Shen, Han-Wei","He, WB (Corresponding Author), Ohio State Univ, Columbus, OH 43210 USA. He, Wenbin; Shen, Han-Wei, Ohio State Univ, Columbus, OH 43210 USA. Lee, Teng-Yok; van Baar, Jeroen; Wittenburg, Kent, Mitsubishi Elect Res Labs MERL, Cambridge, MA USA.",,#,###,###,###,###,###,0,"['OH 43210 USA', 'MA USA']",False,False,False,False,False,False
PacificVis,2020,"Interactive Attention Model Explorer for Natural Language Processing
Tasks with Unbalanced Data Sizes",10.1109/PacificVis48177.2020.1031,,###,###,###,"Conventional attention visualization tools compromise either the readability or the information conveyed when documents are lengthy, especially when these documents have imbalanced sizes. Our work strives toward a more intuitive visualization for a subset of Natural Language Processing tasks, where attention is mapped between documents with imbalanced sizes. We extend the flow map visualization to enhance the readability of the attention-augmented documents. Through interaction, our design enables semantic filtering that helps users prioritize important tokens and meaningful matching for an in-depth exploration. Case studies and informal user studies in machine comprehension prove that our visualization effectively helps users gain initial understandings about what their models are ``paying attention to.{''} We discuss how the work can be extended to other domains, as well as being plugged into more end-to-end systems for model error analysis.",,"Dong, Zhihang;Wu, Tongshuang;Song, Sicheng;Zhang, Mingrui","Dong, ZH (Corresponding Author), Univ Washington, Seattle, WA 98195 USA. Dong, Zhihang; Wu, Tongshuang; Song, Sicheng; Zhang, Mingrui, Univ Washington, Seattle, WA 98195 USA.",,"Human-centered computing, Visualization, Visualization techniques, Heatmaps, Human-centered computing, Visualization, Interaction design process and methods",###,###,###,###,###,0,['WA 98195 USA'],False,False,False,False,False,False
PacificVis,2020,"SCANViz: Interpreting the Symbol-Concept Association Captured by Deep
Neural Networks through Visual Analytics",10.1109/PacificVis48177.2020.3542,,###,###,###,"Two fundamental problems in machine learning are recognition and generation. Apart from the tremendous amount of research efforts devoted to these two problems individually, finding the association between them has attracted increasingly more attention recently. Symbol-Concept Association Network (SCAN) is one of the most popular models for this problem proposed by Google DeepMind lately, which integrates an unsupervised concept abstraction process and a supervised symbol-concept association process. Despite the outstanding performance of this deep neural network, interpreting and evaluating it remain challenging. Guided by the practical needs from deep learning experts, this paper proposes a visual analytics attempt, i.e., SCANViz, to address this challenge in the visual domain. Specifically, SCANViz evaluates the performance of SCAN through its power of recognition and generation, facilitates the exploration of the latent space derived from both the unsupervised extraction and supervised association processes, empowers interactive training of SCAN to interpret the model's understanding on a particular visual concept. Through concrete case studies with multiple deep learning experts, we validate the effectiveness of SCANViz.",,"Wang, Junpeng;Zhang, Wei;Yang, Hao","Wang, JP (Corresponding Author), Visa Res, Palo Alto, CA 94306 USA. Wang, Junpeng; Zhang, Wei; Yang, Hao, Visa Res, Palo Alto, CA 94306 USA.",,#,###,###,###,###,###,0,['CA 94306 USA'],False,False,False,False,False,False
PacificVis,2020,"Visual Interpretation of Recurrent Neural Network on Multi-dimensional
Time-series Forecast",10.1109/PacificVis48177.2020.2785,,###,###,###,"Recent attempts at utilizing visual analytics to interpret Recurrent Neural Networks (RNNs) mainly focus on natural language processing (NLP) tasks that take symbolic sequences as input. However, many real-world problems like environment pollution forecasting apply RNNs on sequences of multi-dimensional data where each dimension represents an individual feature with semantic meaning such as PM2.5 and SO2. RNN interpretation on multi-dimensional sequences is challenging as users need to analyze what features are important at different time steps to better understand model behavior and gain trust in prediction. This requires effective and scalable visualization methods to reveal the complex many-to-many relations between hidden units and features. In this work, we propose a visual analytics system to interpret RNNs on multi-dimensional time-series forecasts. Specifically, to provide an overview to reveal the model mechanism, we propose a technique to estimate the hidden unit response by measuring how different feature selections affect the hidden unit output distribution. We then cluster the hidden units and features based on the response embedding vectors. Finally, we propose a visual analytics system which allows users to visually explore the model behavior from the global and individual levels. We demonstrate the effectiveness of our approach with case studies using air pollutant forecast applications.",,"Shen, Qiaomu;Wu, Yanhong;Jiang, Yuzhe;Zeng, Wei;Lau, Alexis K. H.;Vianova, Anna;Qu, Huamin","Shen, QM (Corresponding Author), Hong Kong Univ Sci \& Technol, Hong Kong, Peoples R China. Shen, Qiaomu; Jiang, Yuzhe; Lau, Alexis K. H.; Qu, Huamin, Hong Kong Univ Sci \& Technol, Hong Kong, Peoples R China. Wu, Yanhong, Visa Res, Palo Alto, CA USA. Zeng, Wei, Shenzhen Inst Adv Technol, Shenzhen, Peoples R China. Vianova, Anna, Delft Univ Technol, Delft, Netherlands.",,"interpretable machine learning, recurrent neural networks, multi-dimensional time series, air pollutant forecast",###,###,###,###,###,0,"['CA USA', 'Netherlands', 'Peoples R China']",False,False,False,True,False,False
PacificVis,2020,"SSR-VFD: Spatial Super-Resolution for Vector Field Data Analysis and
Visualization",10.1109/PacificVis48177.2020.8737,,###,###,###,"We present SSR-VFD, a novel deep learning framework that produces coherent spatial super-resolution (SSR) of three-dimensional vector field data (VFD). SSR-VFD is the first work that advocates a machine learning approach to generate high-resolution vector fields from low-resolution ones. The core of SSR-VFD lies in the use of three separate neural nets that take the three components of a low-resolution vector field as input and jointly output a synthesized high-resolution vector field. To capture spatial coherence, we take into account magnitude and angle losses in network optimization. Our method can work in the in situ scenario where VFD are down-sampled at simulation time for storage saving and these reduced VFD are upsampled back to their original resolution during postprocessing. To demonstrate the effectiveness of SSR-VFD, we show quantitative and qualitative results with several vector field data sets of different characteristics and compare our method against volume upscaling using bicubic interpolation, and two solutions based on CNN and GAN, respectively.",,"Guo, Li;Ye, Shaojie;Han, Jun;Zheng, Hao;Gao, Han;Chen, Danny Z.;Wang, Jian-Xun;Wang, Chaoli","Guo, L (Corresponding Author), Nankai Univ, Tianjin, Peoples R China. Guo, Li, Nankai Univ, Tianjin, Peoples R China. Ye, Shaojie, Zhejiang Univ, Hangzhou, Zhejiang, Peoples R China. Han, Jun; Zheng, Hao; Gao, Han; Chen, Danny Z.; Wang, Jian-Xun; Wang, Chaoli, Univ Notre Dame, Notre Dame, IN 46556 USA.",,"Spatial super-resolution, vector field data, convolutional neural network, deep learning",###,###,###,###,###,0,"['IN 46556 USA', 'Peoples R China']",False,False,False,True,False,False
PacificVis,2020,Toward Feature-Preserving 2D and 3D Vector Field Compression,10.1109/PacificVis48177.2020.6431,,###,###,###,"The objective of this work is to develop error-bounded lossy compression methods to preserve topological features in 2D and 3D vector fields. Specifically, we explore the preservation of critical points in piecewise linear vector fields. We define the preservation of critical points as, without any false positive, false negative, or false type change in the decompressed data, (1) keeping each critical point in its original cell and (2) retaining the type of each critical point (e.g., saddle and attracting node). The key to our method is to adapt a vertex-wise error bound for each grid point and to compress input data together with the error bound field using a modified lossy compressor. Our compression algorithm can be also embarrassingly parallelized for large data handling and in situ processing. We benchmark our method by comparing it with existing lossy compressors in terms of false positive/negative/type rates, compression ratio, and various vector field visualizations with several scientific applications.",,"Liang, Xin;Guo, Hanqi;Di, Sheng;Cappello, Franck;Raj, Mukund;Liu, Chunhui;Ono, Kenji;Chen, Zizhong;Peterka, Tom","Liang, X (Corresponding Author), Univ Calif Riverside, Dept Comp Sci \& Engn, Riverside, CA 92521 USA. Liang, Xin; Chen, Zizhong, Univ Calif Riverside, Dept Comp Sci \& Engn, Riverside, CA 92521 USA. Guo, Hanqi; Di, Sheng; Cappello, Franck; Raj, Mukund; Peterka, Tom, Argonne Natl Lab, Math \& Comp Sci Div, Lemont, IL USA. Liu, Chunhui, Kyoto Univ, Fac Sci, Dept Math, Kyoto, Japan. Ono, Kenji, Kyushu Univ, Res Inst Informat Technol, Fukuoka, Japan.",,"lossy compression, critical points, vector field visualization",###,###,###,###,###,0,"['IL USA', 'Japan', 'CA 92521 USA']",False,False,False,False,True,False
