Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount_02-2020,AminerCitationCount_06-2020,XploreCitationCount - 2020-01,PubsCited,Award,CitationCount,Countries,All_China,All_Japan,All_Korea,Has_China,Has_Japan,Has_Korea
PacificVis,2020,Leveraging Peer Feedback to Improve Visualization Education,10.1109/PacificVis48177.2020.1261,###,###,###,###,"Peer review is a widely utilized pedagogical feedback mechanism for engaging students, which has been shown to improve educational outcomes. However, we find limited discussion and empirical measurement of peer review in visualization coursework. In addition to engagement, peer review provides direct and diverse feedback and reinforces recently-learned course concepts through critical evaluation of others' work. In this paper, we discuss the construction and application of peer review in a computer science visualization course, including: projects that reuse code and visualizations in a feedback-guided, continual improvement process and a peer review rubric to reinforce key course concepts. To measure the effectiveness of the approach, we evaluate student projects, peer review text, and a post-course questionnaire from 3 semesters of mixed undergraduate and graduate courses. The results indicate that course concepts are reinforced with peer review-82\% reported learning more because of peer review, and 75\% of students recommended continuing it. Finally, we provide a road-map for adapting peer review to other visualization courses to produce more highly engaged students.",###,Zachariah Beasley;Alon Friedman;Les A. Piegl;Paul Rosen,"Beasley, Z (Corresponding Author), Univ S Florida, Tampa, FL 33620 USA. Beasley, Zachariah; Friedman, Alon; Piegl, Les; Rosen, Paul, Univ S Florida, Tampa, FL 33620 USA.",###,"Human-centered computing-, Visualization theory, concepts and paradigms, Human-centered computing, Visualization, Visualization design and evaluation methods",###,###,###,###,###,0,USA,False,False,False,False,False,False
PacificVis,2020,"Representing Multivariate Data by Optimal Colors to Uncover Events
of Interest in Time Series Data",10.1109/PacificVis48177.2020.9915,###,###,###,###,"In this paper, we present a visualization system for users to study multivariate time series data. They first identify trends or anomalies from a global view and then examine details in a local view. Specifically, we train a neural network to project high-dimensional data to a two dimensional (2D) planar space while retaining global data distances. By aligning the 2D points with a predefined color map, high-dimensional data can be represented by colors. Because perceptual color differentiation may fail to reflect data distance, we optimize perceptual color differentiation on each map region by deformation. The region with large perceptual color differentiation will expand, whereas the region with small differentiation will shrink. Since colors do not occupy any space in visualization, we convey the overview of multivariate time series data by a calendar view. Cells in the view are color-coded to represent multivariate data at different time spans. Users can observe color changes over time to identify events of interest. Afterward, they study details of an event by examining parallel coordinate plots. Cells in the calendar view and the parallel coordinate plots are dynamically linked for users to obtain insights that are barely noticeable in large datasets. The experiment results, comparisons, conducted case studies, and the user study indicate that our visualization system is feasible and effective.",###,Ding{-}Bang Chen;Chien{-}Hsun Lai;Yun{-}Hsuan Lien;Yu{-}Hsuan Lin;Yu{-}Shuen Wang;Kwan{-}Liu Ma,"Chen, DB (Corresponding Author), Natl Chiao Tung Univ, Hsinchu, Taiwan. Chen, Ding-Bang; Lei, Chien-Hsun; Lien, Yun-Hsuan; Lin, Yu-Hsuan; Wang, Yu-Shuen, Natl Chiao Tung Univ, Hsinchu, Taiwan. Ma, Kwan-Liu, Univ Calif Davis, Davis, CA 95616 USA.",###,#,###,###,###,###,###,0,Taiwan;USA,False,False,False,False,False,False
PacificVis,2020,ExplainExplore: Visual Exploration of Machine Learning Explanations,10.1109/PacificVis48177.2020.7090,###,###,###,###,"Machine learning models often exhibit complex behavior that is difficult to understand. Recent research in explainable AI has produced promising techniques to explain the inner workings of such models using feature contribution vectors. These vectors are helpful in a wide variety of applications. However, there are many parameters involved in this process and determining which settings are best is difficult due to the subjective nature of evaluating interpretability. To this end, we introduce EXPLAINEXPLORE: an interactive explanation system to explore explanations that fit the subjective preference of data scientists. We leverage the domain knowledge of the data scientist to find optimal parameter settings and instance perturbations, and enable the discussion of the model and its explanation with domain experts. We present a use case on a real-world dataset to demonstrate the effectiveness of our approach for the exploration and tuning of machine learning explanations.",###,Dennis Collaris;Jarke J. van Wijk,"Collaris, D (Corresponding Author), Eindhoven Univ Technol, Eindhoven, Netherlands. Collaris, Dennis; van Wijk, Jarke J., Eindhoven Univ Technol, Eindhoven, Netherlands.",###,"Human-centered computing, Visualization, Computing methodologies, Machine learning",###,###,###,###,###,0,Netherlands,False,False,False,False,False,False
PacificVis,2020,PansyTree: Merging Multiple Hierarchies,10.1109/PacificVis48177.2020.1007,###,###,###,###,"Hierarchical structures are very common in the real world for recording all kinds of relational data generated in our daily life and business procedures. A very popular visualization method for displaying such data structures is called ``Tree{''}. So far, there are a variety of Tree visualization methods that have been proposed and most of them can only visualize one hierarchical dataset at a time. Hence, it raises the difficulty of comparison between two or more hierarchical datasets. In this paper, we proposed Pansy Tree which used a tree metaphor to visualize merged hierarchies. We design a unique icon named pansy to represent each merged node in the structure. Each Pansy is encoded by three colors mapping data items from three different datasets in the same hierarchical position (or tree node). The petals and sepal on Pansy are designed for showing each attribute's values and hierarchical information. We also redefine the links in force layout encoded by width and animation to better convey hierarchical information. We further apply Pansy Tree into CNCEE datasets and demonstrate two use cases to verify its effectiveness. The main contribution of this work is to merge three datasets into one tree that makes it much easier to explore and compare the structures, data items and data attributes with visual tools.",###,Yu Dong;Alex Fauth;Mao Lin Huang;Yi Chen;Jie Liang,"Dong, Y (Corresponding Author), Univ Technol Sydney, Sydney, NSW, Australia. Dong, Yu; Fauth, Alex; Huang, Maolin; Liang, Jie, Univ Technol Sydney, Sydney, NSW, Australia. Chen, Yi, Beijing Technol \& Business Univ, Beijing, Peoples R China.",###,"Tree visualization, merging hierarchies, comparison, nature metaphor",###,###,###,###,###,0,Australia;China,False,False,False,True,False,False
PacificVis,2020,"Interactive Attention Model Explorer for Natural Language Processing
Tasks with Unbalanced Data Sizes",10.1109/PacificVis48177.2020.1031,###,###,###,###,"Conventional attention visualization tools compromise either the readability or the information conveyed when documents are lengthy, especially when these documents have imbalanced sizes. Our work strives toward a more intuitive visualization for a subset of Natural Language Processing tasks, where attention is mapped between documents with imbalanced sizes. We extend the flow map visualization to enhance the readability of the attention-augmented documents. Through interaction, our design enables semantic filtering that helps users prioritize important tokens and meaningful matching for an in-depth exploration. Case studies and informal user studies in machine comprehension prove that our visualization effectively helps users gain initial understandings about what their models are ``paying attention to.{''} We discuss how the work can be extended to other domains, as well as being plugged into more end-to-end systems for model error analysis.",###,Zhihang Dong;Tongshuang Wu;Sicheng Song;Mingrui Zhang,"Dong, ZH (Corresponding Author), Univ Washington, Seattle, WA 98195 USA. Dong, Zhihang; Wu, Tongshuang; Song, Sicheng; Zhang, Mingrui, Univ Washington, Seattle, WA 98195 USA.",###,"Human-centered computing, Visualization, Visualization techniques, Heatmaps, Human-centered computing, Visualization, Interaction design process and methods",###,###,###,###,###,0,USA,False,False,False,False,False,False
PacificVis,2020,"{SSR-VFD:} Spatial Super-Resolution for Vector Field Data Analysis
and Visualization",10.1109/PacificVis48177.2020.8737,###,###,###,###,"We present SSR-VFD, a novel deep learning framework that produces coherent spatial super-resolution (SSR) of three-dimensional vector field data (VFD). SSR-VFD is the first work that advocates a machine learning approach to generate high-resolution vector fields from low-resolution ones. The core of SSR-VFD lies in the use of three separate neural nets that take the three components of a low-resolution vector field as input and jointly output a synthesized high-resolution vector field. To capture spatial coherence, we take into account magnitude and angle losses in network optimization. Our method can work in the in situ scenario where VFD are down-sampled at simulation time for storage saving and these reduced VFD are upsampled back to their original resolution during postprocessing. To demonstrate the effectiveness of SSR-VFD, we show quantitative and qualitative results with several vector field data sets of different characteristics and compare our method against volume upscaling using bicubic interpolation, and two solutions based on CNN and GAN, respectively.",###,Li Guo;Shaojie Ye;Jun Han;Hao Zheng;Han Gao;Danny Z. Chen;Jian{-}Xun Wang;Chaoli Wang,"Guo, L (Corresponding Author), Nankai Univ, Tianjin, Peoples R China. Guo, Li, Nankai Univ, Tianjin, Peoples R China. Ye, Shaojie, Zhejiang Univ, Hangzhou, Zhejiang, Peoples R China. Han, Jun; Zheng, Hao; Gao, Han; Chen, Danny Z.; Wang, Jian-Xun; Wang, Chaoli, Univ Notre Dame, Notre Dame, IN 46556 USA.",###,"Spatial super-resolution, vector field data, convolutional neural network, deep learning",###,###,###,###,###,0,China;USA,False,False,False,True,False,False
PacificVis,2020,"Interactive Assigning of Conference Sessions with Visualization and
Topic Modeling",10.1109/PacificVis48177.2020.1027x,###,###,###,###,"Creating thematic sessions based on accepted papers is important to the success of a conference. Facing a large number of papers from multiple topics, conference organizers need to identify the topics of papers and group them into sessions by considering the constraints on session numbers and paper numbers in individual sessions. In this paper, we present a system using visualization and topic modeling to help the construction of conference sessions. The system provides multiple automatically generated session schemes and allows users to create, evaluate, and manipulate paper sessions with given constraints. A case study based on our system on the VAST papers shows that our method can help users successfully construct coherent conference sessions. In addition to conference session management, our method can be extended to other tasks, such as event and class schedule.",###,Yun Han;Zhenhuang Wang;Siming Chen;Guozheng Li;Xiaolong Zhang;Xiaoru Yuan,"Yuan, XR (Corresponding Author), Peking Univ, Minist Educ, Key Lab Machine Percept, Beijing, Peoples R China. Yuan, XR (Corresponding Author), Peking Univ, Sch EECS, Beijing, Peoples R China. Yuan, XR (Corresponding Author), Natl Engn Lab Big Data Anal Technol \& Applicat, Beijing, Peoples R China. Yuan, XR (Corresponding Author), Peking Univ, Beijing Engn Technol Res Ctr Virtual Simulat \& Vi, Beijing, Peoples R China. Han, Yun; Wang, Zhenhuang; Li, Guozheng; Yuan, Xiaoru, Peking Univ, Minist Educ, Key Lab Machine Percept, Beijing, Peoples R China. Han, Yun; Wang, Zhenhuang; Li, Guozheng; Yuan, Xiaoru, Peking Univ, Sch EECS, Beijing, Peoples R China. Yuan, Xiaoru, Natl Engn Lab Big Data Anal Technol \& Applicat, Beijing, Peoples R China. Yuan, Xiaoru, Peking Univ, Beijing Engn Technol Res Ctr Virtual Simulat \& Vi, Beijing, Peoples R China. Chen, Siming, Fraunhofer IAIS, St Augustin, Germany. Chen, Siming, Univ Bonn, Bonn, Germany. Zhang, Xiaolong, Penn State Univ, Coll Informat Sci \& Technol, University Pk, PA 16802 USA.",###,"Interactive clustering visualization, Visual analytics, Topic modeling, Conference scheduling, Constraint solving",###,###,###,###,###,0,Germany;China;USA,False,False,False,True,False,False
PacificVis,2020,"DynamicsExplorer: Visual Analytics for Robot Control Tasks involving
Dynamics and LSTM-based Control Policies",10.1109/PacificVis48177.2020.7127,###,###,###,###,"Deep reinforcement learning (RL), where a policy represented by a deep neural network is trained, has shown some success in playing video games and chess. However, applying RL to real-world tasks like robot control is still challenging. Because generating a massive number of samples to train control policies using RL on real robots is very expensive, hence impractical, it is common to train in simulations, and then transfer to real environments. The trained policy, however, may fail in the real world because of the difference between the training and the real environments, especially the difference in dynamics. To diagnose the problems, it is crucial for experts to understand (1) how the trained policy behaves under different dynamics settings, (2) which part of the policy affects the behaviors the most when the dynamics setting changes, and (3) how to adjust the training procedure to make the policy robust. This paper presents DynamicsExplorer, a visual analytics tool to diagnose the trained policy on robot control tasks under different dynamics settings. DynamicsExplorer allows experts to overview the results of multiple tests with different dynamics-related parameter settings so experts can visually detect failures and analyze the sensitivity of different parameters. Experts can further examine the internal activations of the policy for selected tests and compare the activations between success and failure tests. Such comparisons help experts form hypotheses about the policy and allows them to verify the hypotheses via DynamicsExplorer. Multiple use cases are presented to demonstrate the utility of DynamicsExplorer.",###,Wenbin He;Teng{-}Yok Lee;Jeroen van Baar;Kent Wittenburg;Han{-}Wei Shen,"He, WB (Corresponding Author), Ohio State Univ, Columbus, OH 43210 USA. He, Wenbin; Shen, Han-Wei, Ohio State Univ, Columbus, OH 43210 USA. Lee, Teng-Yok; van Baar, Jeroen; Wittenburg, Kent, Mitsubishi Elect Res Labs MERL, Cambridge, MA USA.",###,#,###,###,###,###,###,0,USA,False,False,False,False,False,False
PacificVis,2020,"Towards Rigorously Designed Preference Visualizations for Group Decision
Making",10.1109/PacificVis48177.2020.5111,###,###,###,###,"Group decision making is when two or more individuals must collectively choose among a competing set of alternatives based on their individual preferences. In these situations, it can be helpful for decision makers to model and visually compare their preferences in order to better understand each others' points of view. Although a number of tools for preference modelling and inspection exist, none are based on detailed data and task models that capture the demands of group decision making in particular. This paper is a first step in addressing this gap. By going through the four stages of the nested model of visualization design, we have developed and tested a prototype to support group decision making when decision makers express their preferences directly on the alternatives.",###,Emily Hindalong;Jordon Johnson;Giuseppe Carenini;Tamara Munzner,"Carenini, G (Corresponding Author), Univ British Columbia, Vancouver, BC, Canada. Hindalong, Emily, Dialpad Inc, San Francisco, CA USA. Johnson, Jordon; Carenini, Giuseppe; Munzner, Tamara, Univ British Columbia, Vancouver, BC, Canada.",###,"Group Decision Making, Preference Models, Preference Inspection, Multiform Visualizations, Nested Model, Task Abstractions, Idiom Evaluation, User Studies",###,###,###,###,###,0,Canada;USA,False,False,False,False,False,False
PacificVis,2020,Dynamic Graph Map Animation,10.1109/PacificVis48177.2020.1042,###,###,###,###,"Recent methods for visualizing graphs have used a map metaphor: vertices are represented as regions in the plane, and proximity between regions represents edges between vertices. In many real world applications, the data changes over time, resulting in a dynamic map. This paper introduces new methods for representing dynamic graphs with map animation. More specifically, we present three different animation methods: MDSV (Multidimensional scaling - Voronoi), TV (Tutte - Voronoi) and TD (Tutte - dual). These methods support operations such as addition and deletion of vertices and edges. Each of our methods uses a kind of matrix interpolation.",###,Seok{-}Hee Hong;Peter Eades;Marnijati Torkel;Weidong Huang;Cristina Cifuentes,"Hong, SH (Corresponding Author), Univ Sydney, Sydney, NSW, Australia. Hong, Seok-Hee; Eades, Peter; Torkel, Marnijati, Univ Sydney, Sydney, NSW, Australia. Huang, Weidong, Univ Technol Sydney, Sydney, NSW, Australia. Cifuentes, Cristina, Oracle Labs Australia, Brisbane, Qld, Australia.",###,"Human-centered computing, Visualization, Visualization techniques, Graph drawing, Human-centered computing, Visualization, Visualization design and evaluation methods",###,###,###,###,###,0,Australia,False,False,False,False,False,False
PacificVis,2020,Uncertainty Visualisation: An Interactive Visual Survey,10.1109/PacificVis48177.2020.1014,###,###,###,###,"There exists a gulf between the rhetoric in visualisation research about the significance of uncertainty and the inclusion of representations of uncertainty in visualisations used in practice. The graphical representation of uncertainty information has emerged as a problem of great importance in visualisation research. This contribution presents a survey of 286 uncertainty visualisation research publications. All publications are categorised with regard to publication type, publication venue, application domain, target user, and evaluation type. We present an interactive web-based browser that facilitates easy visual search and exploration of the publications included in the survey. We conclude that uncertainty visualisation is severely limited by the quality and scope of uncertainty data, by the limited confidence in the data, and by the perceptual and cognitive confusion that the graphical representation of the data can generate.",###,Amit Jena;Ulrich Engelke;Tim Dwyer;Venkatesh Raiamanickam;C{\'{e}}cile Paris,"Jena, A (Corresponding Author), IITB Monash Res Acad, Mumbai, Maharashtra, India. Jena, Amit, IITB Monash Res Acad, Mumbai, Maharashtra, India. Engelke, Ulrich, CSIRO Data61, Perth, WA, Australia. Dwyer, Tim, Monash Univ, Melbourne, Vic, Australia. Rajamanickam, Venkatesh, Indian Inst Technol, Mumbai, Maharashtra, India. Paris, Cecile, CSIRO Data61, Sydney, NSW, Australia.",###,"Human-centered computing, Visualization, Uncertainty Visualization, Human-centered computing, Visualization, Visualization application domains",###,###,###,###,###,0,Australia;India,False,False,False,False,False,False
PacificVis,2020,Visualization of Unsteady Flow Using Heat Kernel Signatures,10.1109/PacificVis48177.2020.1718,###,###,###,###,"We introduce a new technique to visualize complex flowing phenomena by using concepts from shape analysis. Our approach uses techniques that examine the intrinsic geometry of manifolds through their heat kernel, to obtain representations of such manifolds that are isometry-invariant and multi-scale. These representations permit us to compute heat kernel signatures of each point on that manifold, and we can use these signatures as features for classification and segmentation that identify points that have similar structural properties. Our approach adapts heat kernel signatures to unsteady flows by formulating a notion of shape where pathlines are observations of a manifold living in a high-dimensional space. We use this space to compute and visualize heat kernel signatures associated with each pathline. Besides being able to capture the structural features of a pathline, heat kernel signatures allow the comparison of pathlines from different flow datasets through a shape matching pipeline. We demonstrate the analytic power of heat kernel signatures by comparing both (1) different timesteps from the same unsteady flow as well as (2) flow datasets taken from ensemble simulations with varying simulation parameters. Our analysis only requires the pathlines themselves, and thus it does not utilize the underlying vector field directly. We make minimal assumptions on the pathlines: while we assume they are sampled from a continuous, unsteady flow, our computations can tolerate pathlines that have varying density and potential unknown boundaries. We evaluate our approach through visualizations of a variety of two-dimensional unsteady flows.",###,Kairong Jiang;Matthew Berger;Joshua A. Levine,"Jiang, KR (Corresponding Author), Univ Arizona, Tucson, AZ 85721 USA. Jiang, Kairong; Levine, Joshua A., Univ Arizona, Tucson, AZ 85721 USA. Berger, Matthew, Vanderbilt Univ, 221 Kirkland Hall, Nashville, TN 37235 USA.",###,"Flow Visualization, Pathlines, Shape Analysis, Heat Kernel Signatures",###,###,###,###,###,0,USA,False,False,False,False,False,False
PacificVis,2020,A Visual Analytics Framework for Reviewing Streaming Performance Data,10.1109/PacificVis48177.2020.9280,###,###,###,###,"Understanding and tuning the performance of extreme-scale parallel computing systems demands a streaming approach due to the computational cost of applying offline algorithms to vast amounts of performance log data. Analyzing large streaming data is challenging because the rate of receiving data and limited time to comprehend data make it difficult for the analysts to sufficiently examine the data without missing important changes or patterns. To support streaming data analysis, we introduce a visual analytic framework comprising of three modules: data management, analysis, and interactive visualization. The data management module collects various computing and communication performance metrics from the monitored system using streaming data processing techniques and feeds the data to the other two modules. The analysis module automatically identifies important changes and patterns at the required latency. In particular, we introduce a set of online and progressive analysis methods for not only controlling the computational costs but also helping analysts better follow the critical aspects of the analysis results. Finally, the interactive visualization module provides the analysts with a coherent view of the changes and patterns in the continuously captured performance data. Through a multi-faceted case study on performance analysis of parallel discrete-event simulation, we demonstrate the effectiveness of our framework for identifying bottlenecks and locating outliers.",###,Suraj P. Kesavan;Takanori Fujiwara;Jianping Kelvin Li;Caitlin Ross;Misbah Mubarak;Christopher D. Carothers;Robert B. Ross;Kwan{-}Liu Ma,"Kesavan, SP (Corresponding Author), Univ Calif Davis, Davis, CA 95616 USA. Kesavan, Suraj P.; Fujiwara, Takanori; Li, Jianping Kelvin; Ma, Kwan-Liu, Univ Calif Davis, Davis, CA 95616 USA. Ross, Caitlin; Carothers, Christopher D., Rensselaer Polytech Inst, Troy, NY 12181 USA. Mubarak, Misbah; Ross, Robert B., Argonne Natl Lab, Argonne, IL 60439 USA.",###,"Human-centered computing, Visualization, Visualization application domains, Visual analytics",###,###,###,###,###,0,USA,False,False,False,False,False,False
PacificVis,2020,A Study of Mental Maps in Immersive Network Visualization,10.1109/PacificVis48177.2020.4722,###,###,###,###,"The visualization of a network influences the quality of the mental map that the viewer develops to understand the network. In this study, we investigate the effects of a 3D immersive visualization environment compared to a traditional 2D desktop environment on the comprehension of a network's structure. We compare the two visualization environments using three tasks-interpreting network structure, memorizing a set of nodes, and identifying the structural changes-commonly used for evaluating the quality of a mental map in network visualization. The results show that participants were able to interpret network structure more accurately when viewing the network in an immersive environment, particularly for larger networks. However, we found that 2D visualizations performed better than immersive visualization for tasks that required spatial memory.",###,Joseph Kotlarek;Oh{-}Hyun Kwon;Kwan{-}Liu Ma;Peter Eades;Andreas Kerren;Karsten Klein;Falk Schreiber,"Kotlarek, J (Corresponding Author), Univ Calif Davis, Davis, CA 95616 USA. Kotlarek, Joseph; Kwon, Oh-Hyun; Ma, Kwan-Liu, Univ Calif Davis, Davis, CA 95616 USA. Eades, Peter, Univ Sydney, Sydney, NSW, Australia. Kerren, Andreas, Linnaeus Univ, Vaxjo, Sweden. Klein, Karsten; Schreiber, Falk, Univ Konstanz, Constance, Germany.",###,"Human-centered computing, Visualization, Visualization techniques, Graph drawings, Human-centered computing, Visualization, Empirical studies in visualization",###,###,###,###,###,0,Australia;Germany;USA;Sweden,False,False,False,False,False,False
PacificVis,2020,"Tensor Spines - {A} Hyperstreamlines Variant Suitable for Indefinite
Symmetric Second-Order Tensors",10.1109/PacificVis48177.2020.1008,###,###,###,###,"Modern engineering uses optimization to design long-living and robust components. One part of this process is to find the optimal stress-aware design under given geometric constraints and loading conditions. Tensor visualization provides techniques to show and evaluate the stress distribution based on finite element method simulations. One such technique are hyperstreamlines. They allow us to explore the stress along a line following one principal stress direction while showing the other principal stress directions and their values. In this paper, we show shortcomings of this approach from an engineer's point of view and propose a variant called tensor spines. It provides an improved perception of the relation between the principal stresses helping engineers to optimize their designs further.",###,"Vanessa Kretzschmar;Fabian G{\""{u}}nther;Markus Stommel;Gerik Scheuermann","Kretzschmar, V (Corresponding Author), TU Dortmund Univ, Dortmund, Germany. Kretzschmar, V (Corresponding Author), Univ Leipzig, Leipzig, Germany. Kretzschmar, Vanessa; Guenther, Fabian; Stommel, Markus, TU Dortmund Univ, Dortmund, Germany. Kretzschmar, Vanessa; Scheuermann, Gerik, Univ Leipzig, Leipzig, Germany.",###,"Human-centered computing, Visualization, Visualization techniques",###,###,###,###,###,0,Germany,False,False,False,False,False,False
